2024 National Employment Matrix title,2024 National Employment Matrix code,Occupation type,"Employment, 2024","Employment, 2034","Employment distribution, percent, 2024","Employment distribution, percent, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Percent self employed, 2024","Occupational openings, 2024–34 annual average","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Related Occupational Outlook Handbook (OOH) content xlsx,
    Fishing and hunting workers,'45-3000,Summary,21.9,20.9,0.0,0.0,-1.0,-4.6,57.1,2.8,—,—,—,—,—,
      Fishing and hunting workers,'45-3031,Line item,21.9,20.9,0.0,0.0,-1.0,-4.6,57.1,2.8,—,No formal educational credential,None,Moderate-term on-the-job training,OOH Content,
"    Forest, conservation, and logging workers",'45-4000,Summary,55.0,53.5,0.0,0.0,-1.5,-2.8,26.3,8.0,"48,390",—,—,—,—,
      Forest and conservation workers,'45-4011,Line item,10.8,10.3,0.0,0.0,-0.5,-4.7,15.1,2.0,"43,680",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Logging workers,'45-4020,Summary,44.3,43.3,0.0,0.0,-1.0,-2.3,29.0,6.0,"49,540",—,—,—,—,
        Fallers,'45-4021,Line item,5.6,5.2,0.0,0.0,-0.4,-7.3,29.6,0.7,"53,900",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
        Logging equipment operators,'45-4022,Line item,30.9,30.5,0.0,0.0,-0.4,-1.4,29.1,4.2,"49,210",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
        Log graders and scalers,'45-4023,Line item,4.6,4.6,0.0,0.0,0.0,-0.7,28.3,0.6,"46,710",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"        Logging workers, all other",'45-4029,Line item,3.1,3.0,0.0,0.0,-0.1,-4.7,27.6,0.4,"52,000",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
  Construction and extraction occupations,'47-0000,Summary,"7,574.7","7,968.8",4.5,4.5,394.1,5.2,15.1,649.3,"58,360",—,—,—,—,
    Supervisors of construction and extraction workers,'47-1000,Summary,921.6,970.6,0.5,0.6,49.0,5.3,11.5,74.4,"78,690",—,—,—,—,
      First-line supervisors of construction trades and extraction workers,'47-1011,Line item,921.6,970.6,0.5,0.6,49.0,5.3,11.5,74.4,"78,690",High school diploma or equivalent,5 years or more,None,—,
    Construction trades workers,'47-2000,Summary,"5,752.6","6,084.4",3.4,3.5,331.9,5.8,17.6,491.2,"56,490",—,—,—,—,
      Boilermakers,'47-2011,Line item,10.4,10.1,0.0,0.0,-0.2,-2.4,—,0.8,"73,340",High school diploma or equivalent,None,Apprenticeship,OOH Content,
"      Brickmasons, blockmasons, and stonemasons",'47-2020,Summary,86.2,88.2,0.1,0.1,2.0,2.3,27.1,6.4,"60,180",—,—,—,—,
        Brickmasons and blockmasons,'47-2021,Line item,74.1,76.4,0.0,0.0,2.4,3.2,27.1,5.6,"60,800",High school diploma or equivalent,None,Apprenticeship,OOH Content,
        Stonemasons,'47-2022,Line item,12.1,11.8,0.0,0.0,-0.4,-3.0,27.3,0.8,"51,990",High school diploma or equivalent,None,Apprenticeship,OOH Content,
      Carpenters,'47-2031,Line item,959.0,"1,002.1",0.6,0.6,43.1,4.5,26.8,74.1,"59,310",High school diploma or equivalent,None,Apprenticeship,OOH Content,
"      Carpet, floor, and tile installers and finishers",'47-2040,Summary,112.3,119.0,0.1,0.1,6.7,6.0,25.7,8.4,"52,000",—,—,—,—,
        Carpet installers,'47-2041,Line item,20.3,18.3,0.0,0.0,-1.9,-9.6,25.6,1.1,"49,850",No formal educational credential,None,Short-term on-the-job training,OOH Content,
"        Floor layers, except carpet, wood, and hard tiles",'47-2042,Line item,33.7,36.9,0.0,0.0,3.2,9.5,25.7,2.7,"54,340",No formal educational credential,None,Moderate-term on-the-job training,OOH Content,
        Floor sanders and finishers,'47-2043,Line item,5.6,5.8,0.0,0.0,0.1,2.6,25.7,0.4,"49,150",No formal educational credential,None,Moderate-term on-the-job training,OOH Content,
        Tile and stone setters,'47-2044,Line item,52.6,58.0,0.0,0.0,5.3,10.1,25.7,4.2,"52,240",No formal educational credential,None,Long-term on-the-job training,OOH Content,
"      Cement masons, concrete finishers, and terrazzo workers",'47-2050,Summary,208.2,211.8,0.1,0.1,3.6,1.7,1.0,14.3,"54,700",—,—,—,—,
        Cement masons and concrete finishers,'47-2051,Line item,206.7,210.4,0.1,0.1,3.8,1.8,1.0,14.3,"54,660",No formal educational credential,None,Moderate-term on-the-job training,OOH Content,
        Terrazzo workers and finishers,'47-2053,Line item,1.5,1.3,0.0,0.0,-0.2,-11.1,—,0.1,"57,260",High school diploma or equivalent,None,Apprenticeship,OOH Content,
      Construction laborers,'47-2061,Line item,"1,457.0","1,563.4",0.9,0.9,106.5,7.3,26.9,129.4,"46,730",No formal educational credential,None,Short-term on-the-job training,OOH Content,
      Construction equipment operators,'47-2070,Summary,539.5,559.0,0.3,0.3,19.5,3.6,2.5,46.2,"58,320",—,—,—,—,
"        Paving, surfacing, and tamping equipment operators",'47-2071,Line item,47.0,48.6,0.0,0.0,1.5,3.2,2.7,4.0,"51,650",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
        Pile driver operators,'47-2072,Line item,3.2,3.3,0.0,0.0,0.1,4.3,3.0,0.3,"70,510",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
        Operating engineers and other construction equipment operators,'47-2073,Line item,489.3,507.1,0.3,0.3,17.8,3.6,2.5,41.9,"58,710",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"      Drywall installers, ceiling tile installers, and tapers",'47-2080,Summary,118.6,123.0,0.1,0.1,4.4,3.7,19.5,8.8,"58,800",—,—,—,—,
        Drywall and ceiling tile installers,'47-2081,Line item,103.1,107.4,0.1,0.1,4.3,4.2,19.5,7.7,"58,140",No formal educational credential,None,Moderate-term on-the-job training,OOH Content,
        Tapers,'47-2082,Line item,15.6,15.6,0.0,0.0,0.0,0.1,19.5,1.1,"64,700",No formal educational credential,None,Moderate-term on-the-job training,OOH Content,
      Electricians,'47-2111,Line item,818.7,896.1,0.5,0.5,77.4,9.5,7.8,81.0,"62,350",High school diploma or equivalent,None,Apprenticeship,OOH Content,
      Glaziers,'47-2121,Line item,60.5,62.5,0.0,0.0,2.0,3.3,7.1,5.1,"55,440",High school diploma or equivalent,None,Apprenticeship,OOH Content,
      Insulation workers,'47-2130,Summary,67.4,70.2,0.0,0.0,2.8,4.2,3.4,5.7,"50,730",—,—,—,—,
"        Insulation workers, floor, ceiling, and wall",'47-2131,Line item,40.2,41.7,0.0,0.0,1.5,3.8,3.5,3.4,"48,680",No formal educational credential,None,Short-term on-the-job training,OOH Content,
"        Insulation workers, mechanical",'47-2132,Line item,27.2,28.5,0.0,0.0,1.3,4.7,3.3,2.3,"57,250",High school diploma or equivalent,None,Apprenticeship,OOH Content,
      Painters and paperhangers,'47-2140,Summary,344.6,357.7,0.2,0.2,13.1,3.8,33.8,28.3,"48,660",—,—,—,—,
"        Painters, construction and maintenance",'47-2141,Line item,342.2,355.2,0.2,0.2,13.0,3.8,33.8,28.1,"48,660",No formal educational credential,None,Moderate-term on-the-job training,OOH Content,
        Paperhangers,'47-2142,Line item,2.3,2.5,0.0,0.0,0.1,5.3,34.8,0.2,"48,260",No formal educational credential,None,Long-term on-the-job training,—,
"      Pipelayers, plumbers, pipefitters, and steamfitters",'47-2150,Summary,538.9,560.1,0.3,0.3,21.3,3.9,7.3,46.4,"62,210",—,—,—,—,
        Pipelayers,'47-2151,Line item,34.4,32.9,0.0,0.0,-1.4,-4.1,—,2.4,"48,710",No formal educational credential,None,Short-term on-the-job training,—,
"        Plumbers, pipefitters, and steamfitters",'47-2152,Line item,504.5,527.2,0.3,0.3,22.7,4.5,7.8,44.0,"62,970",High school diploma or equivalent,None,Apprenticeship,OOH Content,
      Plasterers and stucco masons,'47-2161,Line item,24.2,25.2,0.0,0.0,1.0,4.1,13.4,1.9,"56,020",No formal educational credential,None,Long-term on-the-job training,—,
      Reinforcing iron and rebar workers,'47-2171,Line item,19.4,20.3,0.0,0.0,0.9,4.6,27.7,1.5,"59,280",High school diploma or equivalent,None,Apprenticeship,OOH Content,
      Roofers,'47-2181,Line item,166.7,176.5,0.1,0.1,9.8,5.9,18.3,12.7,"50,970",No formal educational credential,None,Moderate-term on-the-job training,OOH Content,
      Sheet metal workers,'47-2211,Line item,127.0,130.1,0.1,0.1,3.1,2.4,6.5,10.6,"60,850",High school diploma or equivalent,None,Apprenticeship,OOH Content,
      Structural iron and steel workers,'47-2221,Line item,65.7,68.6,0.0,0.0,2.9,4.4,1.9,5.5,"62,700",High school diploma or equivalent,None,Apprenticeship,OOH Content,
      Solar photovoltaic installers,'47-2231,Line item,28.6,40.6,0.0,0.0,12.0,42.1,—,4.1,"51,860",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"    Helpers, construction trades",'47-3000,Summary,192.1,195.5,0.1,0.1,3.4,1.8,1.8,20.0,"40,430",—,—,—,—,
"      Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",'47-3011,Line item,16.1,14.4,0.0,0.0,-1.7,-10.5,1.8,1.4,"46,480",No formal educational credential,None,Short-term on-the-job training,OOH Content,
      Helpers--carpenters,'47-3012,Line item,25.2,26.4,0.0,0.0,1.1,4.5,1.8,2.7,"41,600",No formal educational credential,None,Short-term on-the-job training,OOH Content,
      Helpers--electricians,'47-3013,Line item,66.6,66.7,0.0,0.0,0.1,0.2,1.8,6.8,"39,890",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
"      Helpers--painters, paperhangers, plasterers, and stucco masons",'47-3014,Line item,7.4,7.6,0.0,0.0,0.2,2.3,1.8,0.8,"38,140",No formal educational credential,None,Short-term on-the-job training,OOH Content,
"      Helpers--pipelayers, plumbers, pipefitters, and steamfitters",'47-3015,Line item,45.3,47.5,0.0,0.0,2.2,4.9,1.8,4.9,"39,270",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
      Helpers--roofers,'47-3016,Line item,5.2,5.5,0.0,0.0,0.3,5.7,1.9,0.6,"40,590",No formal educational credential,None,Short-term on-the-job training,OOH Content,
"      Helpers, construction trades, all other",'47-3019,Line item,26.3,27.4,0.0,0.0,1.2,4.4,1.7,2.8,"40,760",No formal educational credential,None,Short-term on-the-job training,OOH Content,
    Other construction and related workers,'47-4000,Summary,489.0,499.4,0.3,0.3,10.4,2.1,2.5,43.5,"56,520",—,—,—,—,
      Construction and building inspectors,'47-4011,Line item,147.6,146.5,0.1,0.1,-1.2,-0.8,4.8,14.8,"72,120",High school diploma or equivalent,5 years or more,Moderate-term on-the-job training,OOH Content,
      Elevator and escalator installers and repairers,'47-4021,Line item,24.2,25.4,0.0,0.0,1.2,5.0,—,2.0,"106,580",High school diploma or equivalent,None,Apprenticeship,OOH Content,
      Fence erectors,'47-4031,Line item,26.4,27.6,0.0,0.0,1.2,4.6,11.4,2.3,"46,940",No formal educational credential,None,Moderate-term on-the-job training,—,
      Hazardous materials removal workers,'47-4041,Line item,51.3,51.8,0.0,0.0,0.5,1.0,0.1,5.0,"48,490",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Highway maintenance workers,'47-4051,Line item,159.1,163.9,0.1,0.1,4.8,3.0,—,12.3,"49,070",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
      Rail-track laying and maintenance equipment operators,'47-4061,Line item,15.0,15.3,0.0,0.0,0.2,1.6,—,1.1,"67,370",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
      Septic tank servicers and sewer pipe cleaners,'47-4071,Line item,30.4,32.7,0.0,0.0,2.3,7.6,2.8,2.9,"49,140",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
      Miscellaneous construction and related workers,'47-4090,Line item,35.0,36.2,0.0,0.0,1.2,3.5,3.2,3.1,"48,120",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
    Extraction workers,'47-5000,Summary,219.4,218.9,0.1,0.1,-0.6,-0.3,2.1,20.2,"56,020",—,—,—,—,
"      Derrick, rotary drill, and service unit operators, oil and gas",'47-5010,Summary,69.9,70.1,0.0,0.0,0.2,0.3,1.4,6.3,"59,660",—,—,—,—,
"        Derrick operators, oil and gas",'47-5011,Line item,11.3,11.3,0.0,0.0,0.1,0.5,1.4,1.0,"62,740",No formal educational credential,Less than 5 years,Short-term on-the-job training,OOH Content,
"        Rotary drill operators, oil and gas",'47-5012,Line item,13.3,13.4,0.0,0.0,0.0,0.2,1.4,1.2,"65,010",No formal educational credential,Less than 5 years,Moderate-term on-the-job training,OOH Content,
"        Service unit operators, oil and gas",'47-5013,Line item,45.2,45.4,0.0,0.0,0.2,0.4,1.4,4.1,"57,980",No formal educational credential,Less than 5 years,Moderate-term on-the-job training,OOH Content,
      Surface mining machine operators and earth drillers,'47-5020,Summary,54.0,54.4,0.0,0.0,0.4,0.7,3.3,4.7,"56,020",—,—,—,—,
"        Excavating and loading machine and dragline operators, surface mining",'47-5022,Line item,35.8,35.6,0.0,0.0,-0.1,-0.4,3.2,3.1,"52,550",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,—,
"        Earth drillers, except oil and gas",'47-5023,Line item,18.3,18.8,0.0,0.0,0.5,2.9,3.3,1.7,"59,600",High school diploma or equivalent,Less than 5 years,Long-term on-the-job training,—,
"      Explosives workers, ordnance handling experts, and blasters",'47-5032,Line item,5.8,5.8,0.0,0.0,-0.1,-0.9,—,0.5,"59,110",High school diploma or equivalent,Less than 5 years,Long-term on-the-job training,—,
      Underground mining machine operators,'47-5040,Summary,27.2,24.9,0.0,0.0,-2.3,-8.6,2.8,2.6,"66,770",—,—,—,—,
        Continuous mining machine operators,'47-5041,Line item,14.9,15.0,0.0,0.0,0.1,0.6,2.8,1.6,"63,380",No formal educational credential,None,Moderate-term on-the-job training,—,
"        Roof bolters, mining",'47-5043,Line item,2.3,1.5,0.0,0.0,-0.8,-34.2,2.8,0.1,"76,640",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"        Loading and moving machine operators, underground mining",'47-5044,Line item,6.4,5.0,0.0,0.0,-1.4,-22.3,2.8,0.5,"68,860",No formal educational credential,None,Short-term on-the-job training,—,
"        Underground mining machine operators, all other",'47-5049,Line item,3.6,3.4,0.0,0.0,-0.2,-6.1,2.8,0.4,"67,220",No formal educational credential,None,Moderate-term on-the-job training,—,
"      Rock splitters, quarry",'47-5051,Line item,3.2,3.4,0.0,0.0,0.1,4.4,3.3,0.4,"47,460",No formal educational credential,None,Short-term on-the-job training,—,
"      Roustabouts, oil and gas",'47-5071,Line item,46.0,47.1,0.0,0.0,1.1,2.5,1.4,4.3,"47,510",No formal educational credential,None,Moderate-term on-the-job training,OOH Content,
      Helpers--extraction workers,'47-5081,Line item,7.0,6.9,0.0,0.0,-0.1,-1.7,3.3,0.7,"48,400",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"      Extraction workers, all other",'47-5099,Line item,6.3,6.4,0.0,0.0,0.1,1.4,3.3,0.7,"50,110",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"  Installation, maintenance, and repair occupations",'49-0000,Summary,"6,492.9","6,794.3",3.8,3.9,301.4,4.6,4.6,608.1,"58,230",—,—,—,—,
"    Supervisors of installation, maintenance, and repair workers",'49-1000,Summary,617.5,636.5,0.4,0.4,19.1,3.1,0.3,52.4,"78,300",—,—,—,—,
"      First-line supervisors of mechanics, installers, and repairers",'49-1011,Line item,617.5,636.5,0.4,0.4,19.1,3.1,0.3,52.4,"78,300",High school diploma or equivalent,Less than 5 years,None,—,
"    Electrical and electronic equipment mechanics, installers, and repairers",'49-2000,Summary,498.5,504.9,0.3,0.3,6.4,1.3,3.1,45.4,"60,980",—,—,—,—,
"      Computer, automated teller, and office machine repairers",'49-2011,Line item,79.1,78.4,0.0,0.0,-0.7,-0.9,6.2,7.6,"46,860","Some college, no degree",None,Short-term on-the-job training,—,
      Radio and telecommunications equipment installers and repairers,'49-2020,Summary,168.6,163.1,0.1,0.1,-5.5,-3.3,1.9,14.3,"62,710",—,—,—,—,
"        Radio, cellular, and tower equipment installers and repairers",'49-2021,Line item,11.7,12.7,0.0,0.0,1.0,8.6,1.7,1.2,"64,190",Associate's degree,None,Moderate-term on-the-job training,OOH Content,
"        Telecommunications equipment installers and repairers, except line installers",'49-2022,Line item,156.9,150.4,0.1,0.1,-6.6,-4.2,1.9,13.2,"62,630",Postsecondary nondegree award,None,Moderate-term on-the-job training,OOH Content,
"      Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",'49-2090,Summary,250.8,263.5,0.1,0.2,12.7,5.1,2.8,23.4,"63,120",—,—,—,—,
        Avionics technicians,'49-2091,Line item,21.4,23.1,0.0,0.0,1.7,8.2,—,1.8,"81,390",Postsecondary nondegree award,None,None,OOH Content,
"        Electric motor, power tool, and related repairers",'49-2092,Line item,17.1,17.7,0.0,0.0,0.6,3.4,1.8,1.7,"53,990",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,OOH Content,
"        Electrical and electronics installers and repairers, transportation equipment",'49-2093,Line item,7.0,7.4,0.0,0.0,0.4,6.1,—,0.6,"82,730",Postsecondary nondegree award,None,Long-term on-the-job training,OOH Content,
"        Electrical and electronics repairers, commercial and industrial equipment",'49-2094,Line item,61.1,60.7,0.0,0.0,-0.5,-0.8,—,4.7,"71,300",Postsecondary nondegree award,None,Long-term on-the-job training,OOH Content,
"        Electrical and electronics repairers, powerhouse, substation, and relay",'49-2095,Line item,23.4,24.7,0.0,0.0,1.3,5.5,—,2.0,"100,940",Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training,OOH Content,
"        Electronic equipment installers and repairers, motor vehicles",'49-2096,Line item,10.3,8.9,0.0,0.0,-1.4,-13.6,—,0.6,"47,940",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
